Navn,Year,Month,Day,Felt,Trafikkmengde,Sykkel
Hansine Hansens veg,2021,12,10,Totalt,4107,0
Hansine Hansens veg,2021,12,11,1,679,0
Hansine Hansens veg,2021,12,11,2,689,0
Hansine Hansens veg,2021,12,11,Totalt,1368,0
Hansine Hansens veg,2021,12,12,1,649,0
Hansine Hansens veg,2021,12,12,2,648,0
Hansine Hansens veg,2021,12,12,Totalt,1297,0
Hansine Hansens veg,2021,12,13,1,1990,0
Hansine Hansens veg,2021,12,13,2,2144,0
Hansine Hansens veg,2021,12,13,Totalt,4134,0
Hansine Hansens veg,2021,12,14,1,1912,0
Hansine Hansens veg,2021,12,14,2,2127,0
Hansine Hansens veg,2021,12,14,Totalt,4039,0
Hansine Hansens veg,2021,12,15,1,1725,0
Hansine Hansens veg,2021,12,15,2,1909,0
Hansine Hansens veg,2021,12,15,Totalt,3634,0
Hansine Hansens veg,2021,12,16,1,1648,0
Hansine Hansens veg,2021,12,16,2,1778,0
Hansine Hansens veg,2021,12,16,Totalt,3426,0
Hansine Hansens veg,2021,12,17,1,1573,0
Hansine Hansens veg,2021,12,17,2,1685,0
Hansine Hansens veg,2021,12,17,Totalt,3258,0
Hansine Hansens veg,2021,12,18,1,543,0
Hansine Hansens veg,2021,12,18,2,543,0
Hansine Hansens veg,2021,12,18,Totalt,1086,0
Hansine Hansens veg,2021,12,19,1,463,0
Hansine Hansens veg,2021,12,19,2,479,0
Hansine Hansens veg,2021,12,19,Totalt,942,0
Hansine Hansens veg,2021,12,20,1,1389,0
Hansine Hansens veg,2021,12,20,2,1557,0
Hansine Hansens veg,2021,12,20,Totalt,2946,0
Hansine Hansens veg,2021,12,21,1,1311,0
Hansine Hansens veg,2021,12,21,2,1490,0
Hansine Hansens veg,2021,12,21,Totalt,2801,0
Hansine Hansens veg,2021,12,22,1,1035,0
Hansine Hansens veg,2021,12,22,2,1175,0
Hansine Hansens veg,2021,12,22,Totalt,2210,0
Hansine Hansens veg,2021,12,23,1,826,0
Hansine Hansens veg,2021,12,23,2,916,0
Hansine Hansens veg,2021,12,23,Totalt,1742,0
Hansine Hansens veg,2021,12,24,1,362,0
Hansine Hansens veg,2021,12,24,2,363,0
Hansine Hansens veg,2021,12,24,Totalt,725,0
Hansine Hansens veg,2021,12,25,1,272,0
Hansine Hansens veg,2021,12,25,2,287,0
Hansine Hansens veg,2021,12,25,Totalt,559,0
Hansine Hansens veg,2021,12,26,1,332,0
Hansine Hansens veg,2021,12,26,2,356,0
Hansine Hansens veg,2021,12,26,Totalt,688,0
Hansine Hansens veg,2021,12,27,1,668,0
Hansine Hansens veg,2021,12,27,2,718,0
Hansine Hansens veg,2021,12,27,Totalt,1386,0
Hansine Hansens veg,2021,12,28,1,658,0
Hansine Hansens veg,2021,12,28,2,762,0
Hansine Hansens veg,2021,12,28,Totalt,1420,0
Hansine Hansens veg,2021,12,29,1,644,0
Hansine Hansens veg,2021,12,29,2,739,0
Hansine Hansens veg,2021,12,29,Totalt,1383,0
Hansine Hansens veg,2021,12,30,1,643,0
Hansine Hansens veg,2021,12,30,2,728,0
Hansine Hansens veg,2021,12,30,Totalt,1371,0
Hansine Hansens veg,2021,12,31,1,487,0
Hansine Hansens veg,2021,12,31,2,508,0
Hansine Hansens veg,2021,12,31,Totalt,995,0
Hansine Hansens veg,2022,1,1,1,314,0
Hansine Hansens veg,2022,1,1,2,327,0
Hansine Hansens veg,2022,1,1,Totalt,641,0
Hansine Hansens veg,2022,1,2,1,417,0
Hansine Hansens veg,2022,1,2,2,408,0
Hansine Hansens veg,2022,1,2,Totalt,825,0
Hansine Hansens veg,2022,1,3,1,1552,0
Hansine Hansens veg,2022,1,3,2,1702,0
Hansine Hansens veg,2022,1,3,Totalt,3254,0
Hansine Hansens veg,2022,1,4,1,1596,0
Hansine Hansens veg,2022,1,4,2,1814,0
Hansine Hansens veg,2022,1,4,Totalt,3410,0
Hansine Hansens veg,2022,1,5,1,1615,0
Hansine Hansens veg,2022,1,5,2,1871,0
Hansine Hansens veg,2022,1,5,Totalt,3486,0
Hansine Hansens veg,2022,1,6,1,1668,0
Hansine Hansens veg,2022,1,6,2,1833,0
Hansine Hansens veg,2022,1,6,Totalt,3501,0
Hansine Hansens veg,2022,1,7,1,1643,0
Hansine Hansens veg,2022,1,7,2,1832,0
Hansine Hansens veg,2022,1,7,Totalt,3475,0
Hansine Hansens veg,2022,1,8,1,576,0
